Category,Subcategory,Year,All Discharges,Total Dis Category,AMA Discharges,Total AMA Dis Category,AMA Discharges More Than Once,Total AMA Dis >1x Category,Percent of Total Discharges,Percent of AMA Discharges,Percent of AMA Discharges >1x
Admission Type,Elective,2019,524882,2709060,4841,64827,1188,20575,0.1937506,0.074675675,0.057739976
Admission Type,Emergency,2019,1173202,2709060,37360,64827,12790,20575,0.433066082,0.576303084,0.62162819
Admission Type,Urgent,2019,1010976,2709060,22626,64827,6597,20575,0.373183318,0.349021241,0.320631835
Age,18-39 Years,2019,679695,2747558,20918,65704,6579,20699,0.247381493,0.318367223,0.317841442
Age,40-64 Years,2019,876807,2747558,31111,65704,10806,20699,0.31912229,0.473502374,0.522054206
Age,65+ Years,2019,1191056,2747558,13675,65704,3314,20699,0.433496217,0.208130403,0.160104353
Primary Diagnosis,Acute Myocardial Infarction,2019,55890,902282,1144,23069,304,8227,0.06194294,0.049590359,0.036951501
Primary Diagnosis,Chronic Obstructive Pulmonary Disease (COPD),2019,45561,902282,1668,23069,680,8227,0.0504953,0.072304825,0.082654674
Primary Diagnosis,Diabetes,2019,58681,902282,2729,23069,1323,8227,0.065036208,0.118297282,0.160811961
Primary Diagnosis,Hypertensive Heart Disease,2019,89800,902282,2650,23069,1267,8227,0.099525426,0.114872773,0.154005105
Primary Diagnosis,Kidney Failure,2019,42514,902282,1132,23069,341,8227,0.047118307,0.049070181,0.041448888
Primary Diagnosis,Maternal Care (Labor/Delivery),2019,250787,902282,756,23069,112,8227,0.277947471,0.032771252,0.013613711
Primary Diagnosis,Pneumonia,2019,56498,902282,1277,23069,396,8227,0.062616787,0.055355672,0.048134192
Primary Diagnosis,Sepsis,2019,256169,902282,6295,23069,1956,8227,0.283912347,0.272877021,0.237753738
Primary Diagnosis,Substance Use Disorders,2019,46382,902282,5418,23069,1848,8227,0.051405215,0.234860636,0.224626231
Homeless Status,Homeless,2019,108963,2747558,11578,65704,5586,20699,0.039658126,0.176214538,0.26986811
Homeless Status,Non-Homeless,2019,2638595,2747558,54126,65704,15113,20699,0.960341875,0.823785462,0.73013189
Expected Payer,All Other Payers,2019,24770,2747022,273,65690,82,20695,0.009017037,0.004155884,0.00396231
Expected Payer,Medi-Cal,2019,685248,2747022,33784,65690,12554,20695,0.249451224,0.514294413,0.606619957
Expected Payer,Medicare,2019,1262906,2747022,19325,65690,5672,20695,0.459736398,0.294184807,0.274075864
Expected Payer,Other Government,2019,52213,2747022,2045,65690,459,20695,0.019007128,0.03113107,0.02217927
Expected Payer,Private Health Insurance,2019,682268,2747022,8116,65690,1484,20695,0.248366413,0.123550008,0.071708142
Expected Payer,Self-Pay or Uninsured,2019,39617,2747022,2147,65690,444,20695,0.014421799,0.032683818,0.021454458
Race/Ethnicity Group,American Indian/Alaska Native,2019,14815,2735185,538,65433,164,20639,0.005416453,0.008222151,0.007946121
Race/Ethnicity Group,Asian,2019,231373,2735185,2214,65433,439,20639,0.084591353,0.033836138,0.02127041
Race/Ethnicity Group,Black,2019,259923,2735185,10899,65433,4195,20639,0.095029404,0.166567328,0.203255972
Race/Ethnicity Group,Hispanic,2019,728769,2735185,15465,65433,4648,20639,0.266442307,0.236348631,0.22520471
Race/Ethnicity Group,Multiracial,2019,22800,2735185,688,65433,250,20639,0.008335816,0.010514572,0.01211299
Race/Ethnicity Group,Native Hawaiian or Other Pacific Islander,2019,19736,2735185,334,65433,89,20639,0.0072156,0.005104458,0.004312224
Race/Ethnicity Group,Other,2019,108925,2735185,2758,65433,722,20639,0.039823632,0.042149986,0.034982315
Race/Ethnicity Group,White,2019,1348844,2735185,32537,65433,10132,20639,0.493145436,0.497256736,0.490915258
Assigned Sex at Birth,Female,2019,1536958,2747454,24394,65702,6595,20698,0.559411732,0.371282457,0.318629819
Assigned Sex at Birth,Male,2019,1210496,2747454,41308,65702,14103,20698,0.440588268,0.628717543,0.681370181
Admission Type,Elective,2020,431889,2415746,4690,66441,1131,21222,0.178780799,0.070588944,0.053293752
Admission Type,Emergency,2020,1076260,2415746,38134,66441,12955,21222,0.445518693,0.57395283,0.610451418
Admission Type,Urgent,2020,907597,2415746,23617,66441,7136,21222,0.375700508,0.355458226,0.33625483
Age,18-39 Years,2020,635154,2454933,22425,67741,6949,21435,0.258725595,0.331040286,0.32418941
Age,40-64 Years,2020,782603,2454933,32488,67741,11592,21435,0.318787926,0.479591385,0.540797761
Age,65+ Years,2020,1037176,2454933,12828,67741,2894,21435,0.422486479,0.189368329,0.13501283
Primary Diagnosis,Acute Myocardial Infarction,2020,46529,895495,1078,25946,322,8989,0.051958972,0.04154783,0.03582156
Primary Diagnosis,Chronic Obstructive Pulmonary Disease (COPD),2020,27822,895495,1348,25946,533,8989,0.03106885,0.051954058,0.059294694
Primary Diagnosis,COVID-19 (2020-2023 data only),2020,76525,895495,1366,25946,262,8989,0.08545553,0.052647807,0.029146735
Primary Diagnosis,Diabetes,2020,52616,895495,2782,25946,1335,8989,0.05875633,0.107222693,0.148514852
Primary Diagnosis,Hypertensive Heart Disease,2020,74389,895495,2940,25946,1456,8989,0.083070257,0.113312264,0.161975748
Primary Diagnosis,Kidney Failure,2020,35154,895495,1077,25946,325,8989,0.039256501,0.041509289,0.036155301
Primary Diagnosis,Maternal Care (Labor/Delivery),2020,231006,895495,776,25946,98,8989,0.257964589,0.029908271,0.010902214
Primary Diagnosis,Pneumonia,2020,44999,895495,1277,25946,377,8989,0.05025042,0.049217606,0.041940149
Primary Diagnosis,Sepsis,2020,261805,895495,7616,25946,2334,8989,0.292357858,0.293532722,0.259650684
Primary Diagnosis,Substance Use Disorders,2020,44650,895495,5686,25946,1947,8989,0.049860692,0.21914746,0.216598064
Homeless Status,Homeless,2020,105350,2454933,12440,67741,5914,21435,0.042913595,0.183640631,0.275903896
Homeless Status,Non-Homeless,2020,2349583,2454933,55301,67741,15521,21435,0.957086405,0.816359369,0.724096105
Expected Payer,All Other Payers,2020,20385,2454301,343,67720,87,21428,0.008305827,0.005064973,0.004060108
Expected Payer,Medi-Cal,2020,634960,2454301,36493,67720,13565,21428,0.258713173,0.538880685,0.633050215
Expected Payer,Medicare,2020,1095368,2454301,18336,67720,5157,21428,0.446305486,0.270761961,0.240666418
Expected Payer,Other Government,2020,51185,2454301,2044,67720,539,21428,0.020855225,0.030183107,0.025154004
Expected Payer,Private Health Insurance,2020,620143,2454301,8311,67720,1630,21428,0.252676017,0.12272593,0.076068695
Expected Payer,Self-Pay or Uninsured,2020,32260,2454301,2193,67720,450,21428,0.013144272,0.032383343,0.02100056
Race/Ethnicity Group,American Indian/Alaska Native,2020,8804,2438837,431,67364,149,21365,0.003609917,0.006398076,0.006974023
Race/Ethnicity Group,Asian,2020,204109,2438837,2046,67364,395,21365,0.08369112,0.030372306,0.018488182
Race/Ethnicity Group,Black,2020,229675,2438837,10619,67364,4158,21365,0.094173985,0.157636126,0.194617365
Race/Ethnicity Group,Hispanic,2020,694191,2438837,17412,67364,5280,21365,0.284640179,0.258476338,0.247133162
Race/Ethnicity Group,Multiracial,2020,31416,2438837,1450,67364,521,21365,0.01288155,0.02152485,0.024385678
Race/Ethnicity Group,Native Hawaiian or Other Pacific Islander,2020,16453,2438837,364,67364,121,21365,0.006746248,0.00540348,0.005663468
Race/Ethnicity Group,Other,2020,99834,2438837,3052,67364,877,21365,0.040935085,0.045306098,0.041048444
Race/Ethnicity Group,White,2020,1154355,2438837,31990,67364,9864,21365,0.473321915,0.474882727,0.461689679
Assigned Sex at Birth,Female,2020,1349590,2454836,24192,67737,6501,21432,0.549767887,0.357146021,0.303331467
Assigned Sex at Birth,Male,2020,1105246,2454836,43545,67737,14931,21432,0.450232113,0.642853979,0.696668533
Admission Type,Elective,2021,426419,2469325,5204,70870,1248,22203,0.172686463,0.073430224,0.056208621
Admission Type,Emergency,2021,1143481,2469325,41315,70870,13791,22203,0.463074322,0.582968816,0.621132279
Admission Type,Urgent,2021,899425,2469325,24351,70870,7164,22203,0.364239215,0.34360096,0.3226591
Age,18-39 Years,2021,645880,2512481,23638,72303,7287,22428,0.257068611,0.326929726,0.324906367
Age,40-64 Years,2021,795771,2512481,35587,72303,12542,22428,0.316727171,0.492192579,0.5592117
Age,65+ Years,2021,1070830,2512481,13078,72303,2599,22428,0.426204218,0.180877695,0.115881933
Primary Diagnosis,Acute Myocardial Infarction,2021,48213,914660,1154,27851,306,9498,0.05271139,0.041434778,0.032217309
Primary Diagnosis,Chronic Obstructive Pulmonary Disease (COPD),2021,22964,914660,1141,27851,469,9498,0.025106597,0.040968008,0.049378817
Primary Diagnosis,COVID-19 (2020-2023 data only),2021,104474,914660,2229,27851,402,9498,0.114221678,0.080033033,0.0423247
Primary Diagnosis,Diabetes,2021,55279,914660,2976,27851,1351,9498,0.060436665,0.106854332,0.142240472
Primary Diagnosis,Hypertensive Heart Disease,2021,81616,914660,3585,27851,1894,9498,0.089230971,0.128720692,0.199410402
Primary Diagnosis,Kidney Failure,2021,36452,914660,1108,27851,328,9498,0.03985306,0.039783132,0.034533586
Primary Diagnosis,Maternal Care (Labor/Delivery),2021,225992,914660,804,27851,121,9498,0.247077603,0.028867904,0.012739524
Primary Diagnosis,Pneumonia,2021,34384,914660,946,27851,270,9498,0.037592111,0.033966464,0.028427037
Primary Diagnosis,Sepsis,2021,258757,914660,7702,27851,2336,9498,0.282899657,0.276543033,0.245946515
Primary Diagnosis,Substance Use Disorders,2021,46529,914660,6206,27851,2021,9498,0.050870269,0.222828624,0.212781638
Homeless Status,Homeless,2021,102234,2512481,12610,72303,5948,22428,0.040690457,0.174404935,0.265204209
Homeless Status,Non-Homeless,2021,2410247,2512481,59693,72303,16480,22428,0.959309543,0.825595065,0.734795791
Expected Payer,All Other Payers,2021,22476,2511370,361,72274,75,22422,0.008949697,0.004994881,0.003344929
Expected Payer,Medi-Cal,2021,657107,2511370,39995,72274,14688,22422,0.261652803,0.553380192,0.655070913
Expected Payer,Medicare,2021,1108445,2511370,18471,72274,5059,22422,0.441370646,0.255569084,0.225626617
Expected Payer,Other Government,2021,52833,2511370,2254,72274,541,22422,0.021037521,0.031186872,0.024128089
Expected Payer,Private Health Insurance,2021,640896,2511370,9160,72274,1622,22422,0.255197761,0.126739907,0.072339666
